id	type	name	tool	workshop	ep	exp	weight	value	water	food	pice	actionA	actionB	actionX	actionY	material1	material2	material3	material4	material5	material6	other	description	cd	effect	duration
稻香饼	回复品	稻香饼	菜锅	炉灶	3	10	200	5	0	50	3	吃	无	无	无	面粉	葱	无	无	无	无	烤焦了的姜薯饼	稻米做成可口米饼，农家风味。	10分钟	每秒恢复的气血值提高1点	持续15分钟
鲜肉包子	回复品	鲜肉包子	菜锅	炉灶	3	10	50	120	0	40	5	吃	无	拿	无	肉馅	面粉	油盐酱醋	无	无	无	带酸味的包子	白面包鲜肉，香溢蒸笼间。	10分钟	每秒恢复的内力值提高1点	持续15分钟
冬菇藕夹	回复品	冬菇藕夹	菜锅	炉灶	3	10	50	120	0	40	3	吃	无	无	无	肉馅	藕	蘑菇	面粉	油盐酱醋	无	白糖藕夹	食指大动真好味，两边鲜藕夹冬菇。	10分钟	每秒恢复的气血值提高1点	每秒恢复的内力值提高1点
冬瓜丸子汤	回复品	冬瓜丸子汤	菜锅	炉灶	3	10	200	150	0	60	3	吃	无	无	无	肉丸	冬瓜	油盐酱醋	无	无	无	散了的丸子汤	瓜如美玉晶莹色，丸如珍珠落金盘。	10分钟	每秒恢复的内力值提高2点	持续15分钟
桂花糕	回复品	桂花糕	菜锅	炉灶	3	10	50	0	30	0	3	喝	无	无	无	面粉	桂花	砂糖	无	无	无	白糖桂花糕	花糕甘香远，食之补气血。	10分钟	每秒恢复的气血值提高3点	持续15分钟
烧罗汉面筋	回复品	烧罗汉面筋	菜锅	炉灶	4	10	50	0	30	0	3	喝	无	无	无	肥肉	面粉	姜	料酒	油盐酱醋	无	炸糊了的面筋	汉口中真滋味，如来座前一碗香。	10分钟	每秒恢复的气血值提高4点	持续15分钟。
粉蒸肠	回复品	粉蒸肠	菜锅	炉灶	4	10	50	2000	0	0	3	喝	无	无	无	肠	姜	料酒	油盐酱醋	无	无	蒸烂了的粉肠	粉蒸五脏庙，腻齿带余香。	10分钟	使用：每秒恢复的内力值提高4点	持续15分钟。
好烧	回复品	好烧	菜锅	炉灶	6	16	80	50	0	20	3	喝	无	无	无	肉馅	面粉	腱子肉	无	无	无	无	好好烧，烧出的自然好。	10分钟	内力最大值提高190点	持续15分钟
萝卜肉饼	回复品	萝卜肉饼	菜锅	炉灶	6	16	700	100	15	0	3	喝	无	无	无	瘦肉	肉馅	萝卜	姜	面粉	油盐酱醋	无	营养丰富，老少咸宜。	10分钟	气血最大值提高175点	持续15分钟
黄瓜腱子肉	回复品	黄瓜腱子肉	菜锅	炉灶	7	16	200	100	0	35	2	吃	无	无	无	黄瓜	花椒	腱子肉	油盐酱醋	无	无	花椒腱子肉	夜来瓜肉香，口水知多少？	10分钟	每秒恢复的内力值提高8点	持续15分钟
红血肠	回复品	红血肠	菜锅	炉灶	9	20	100	200	0	35	5	吃	无	无	无	血肠	姜	油盐酱醋	天麻	无	无	煮散的血肠片	红红火火好兆头。	10分钟	每秒恢复的气血值提高8点	持续15分钟
莲藕排骨汤	回复品	莲藕排骨汤	菜锅	炉灶	9	20	100	200	0	35	5	吃	无	无	无	排骨	藕	油盐酱醋	无	无	无	红花藕排骨汤	养颜抗老，活血润肤。	10分钟	气血最大值提高255点	持续15分钟
