ID	name	x	y	side	safe	action	people	obj	description
菜园	菜园	0	0	外	安全	浇	管家5	水缸	这里是一座极大的菜园，种满了油菜，萝卜，茄子，丝瓜之类。周围的篱笆都破了，看来要整修了。菜园旁有几口大缸，里面盛满了水，可是菜地看起来都干裂了，几棵菜蔫蔫的长着，是缺水太多了
兵器库	兵器库	0	0	内	安全	拿兵器	无	兵器架	这里是武馆的兵器库，周围的兵器架上放着很多兵器，刀，剑，矛，戟等十八般兵器排列整齐。一群武馆弟子正站在架前挑选自己合手的兵刃。北面就是练武场了，里面很多人正练的热火朝天呢。
菜地	菜地	0	0	外	安全	除草	管家6	杂草	这里是一座极大的菜园，种满了油菜，萝卜，茄子，丝瓜之类。周围的篱笆都破了，看来要整修了。由于长期得不到良好的照顾，菜地里杂草丛生，种的菜都长势不好，蔫蔫的，地都荒了。
柴房	柴房	0	0	内	安全	砍柴	管家1	木头	刚进屋就被屋里叮叮哐哐的声音所吸引，你仔细一看，里面堆满了松柴稻草。很多人忙碌地在墙边劈柴，屋子特别大，屋子一边堆满了已经锯短的木头，但是另一边劈好的柴却并不见多
车厢内	车厢内	0	0	内	安全	赶路	车夫	无	大车赶上了大路，窗外大路两旁绿柳成荫，郁郁葱葱，风吹木叶，阳光满地。远山青绿，湖水湛蓝。青绿远山倒映在湛蓝的湖水中，蓝翠如绿，绿浓如蓝。暮色渐渐浓了，夕阳也已慢慢消失，但路旁山坡上的枫叶却依然多彩而艳丽。远处的青山，亦渐渐隐没在浓浓的暮色里，像极了一幅经已褪色的精美画卷。
车厢内1	车厢内	0	0	内	安全	无	车夫	无	干净舒服的车厢里，整洁的座位上铺着红色的锦缎。车前老车夫正在用力地赶着马车，马行颠簸，但坐在车内，却并不感觉震荡。透过的车窗你能够欣赏窗外优美的景色。
车厢内2	车厢内	0	0	内	安全	目的地	车夫	无	干净舒服的车厢里，整洁的座位上铺着红色的锦缎。车前老车夫正在用力地赶着马车，马行颠簸，但坐在车内，却并不感觉震荡。透过的车窗你能够欣赏窗外优美的景色。
厨房	厨房	0	0	内	安全	烹饪	王厨子	大碗茶、米饭	这是武馆的厨房, 虽然不大, 但是锅碗瓢盆, 油盐酱醋, 都很奇全。灶台上堆满了新鲜瓜果蔬菜, 活鱼活虾, 满屋的果香和肉香，使你一走进这里，闻得阵阵的香气，就立即想饱餐一顿。有几个厨子正在忙碌着。
破祠堂	破祠堂	0	0	内	安全	拜	无	无	穿过后花园就来到破祠堂内。里面空荡荡的，地上满是灰尘，桌椅都是甚为残破，看来很长时间没人光顾了。屋角蜷缩着一个满身是灰，蓬头垢面的中年乞妇，一个人在那里喃喃自语。
武馆大门	武馆大门	0	0	外	安全	出馆	无	无	你走到一座高宅大院的门口，大门紧闭，门口站着几个家丁，一个个腆胸叠肚，一副要找人麻烦的样子。门前左右有两个石狮子，四五级青石台阶上是两扇钉满铜钉的大门。看得出这里是当地大豪的住所。
武馆大厅	武馆大厅	0	0	内	安全	无	弟子1	无	这里是武馆大厅，正中靠北摆着一张八仙桌，桌上供着关公的神位，旁边放着两个青瓷花瓶，插着几支孔雀翎，墙上写着大大的一个“武”字，武馆主人早些年在江湖上闯荡，现今洗手隐退，在襄阳开起了这间武馆，往北走有条走廊，一直通向馆主的卧室。西面通向厨房，往东走就可以到后花园了。
武馆前院	武馆前院	0	0	外	安全	无	弟子7	无	从前厅出来就看见这个大院子了，东西两边都是练武场，不少人在这里习武强身，这里很吵，乱烘烘的，你不时看见有扛着东西的，挑着水的匆匆而过，北面上了台阶就是武馆大厅了。
后花园	后花园	0	0	外	安全	无	丫鬟	无	这是是武馆的后花园，左侧方有个大池塘，池水甚清，还有一双白鹅，在水里来回嬉戏。池旁有几块太湖石，石边放着一张小几，小几上放着一个香炉，香炉中留着三柱残香，好象刚有人在此停留。
后院	后院	0	0	外	安全	无	无	无	这里就是武馆的后院了，四周种满了各种蔬菜，往北是一块庄稼地，东面用篱笆围起的菜园，里面种着各样的菜，篱笆很破烂，摇摇欲坠。西面是间柴房，从窗户中可以见到松柴稻草堆得满满的。
