ID	name	sect	type	target	fire	damage	fireType	range	ap	mp	rSkill	rMap	add1	add2	anim	audio	book	description	w	h	r	speed	cd	dmgt	combo	color						
长拳	长拳	无	拳	对手	1	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
六合拳	六合拳	丐帮、神农帮、新门派、英雄门	拳	对手	2	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack2	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
景阳搏虎拳	景阳搏虎拳	丐帮	拳	对手	3	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack3	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
逍遥游	逍遥游	丐帮	拳	对手	4	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack4	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
罗汉拳	罗汉拳	少林寺	拳	对手	1	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack5	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
罗汉伏虎拳	罗汉伏虎拳	少林寺	拳	对手	2	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack6	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
金刚般若拳	金刚般若拳	少林寺	拳	对手	3	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack7	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
易筋经	易筋经	少林寺	拳	对手	4	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack8	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
上清拳	上清拳	武当派	拳	对手	1	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack9	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
无极玄功拳	无极玄功拳	武当派	拳	对手	2	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack10	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
太极拳	太极拳	武当派	拳	对手	3	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack11	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
玲珑拳	玲珑拳	峨嵋派	拳	对手	1	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack12	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
飞仙凌风拳	飞仙凌风拳	峨嵋派	拳	对手	3	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
长拳十段锦	长拳十段锦	华山派	拳	对手	1	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack2	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
破玉拳	破玉拳	华山派	拳	对手	3	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack3	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
灵蛇拳	灵蛇拳	魔教	拳	对手	2	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack4	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
摧心断骨拳	摧心断骨拳	魔教	拳	对手	4	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack5	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
百鸟拳	百鸟拳	巫山派	拳	对手	2	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack6	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
梅影漱玉拳	梅影漱玉拳	洞庭帮	拳	对手	2	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack7	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
乾坤合气拳	乾坤合气拳	英雄门	拳	对手	2	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack8	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
渐磐拳	渐磐拳	英雄门	拳	对手	2	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack9	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
燕青拳	燕青拳	神农帮	拳	对手	2	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack10	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
阴阳合济拳	阴阳合济拳	神农帮	拳	对手	2	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack11	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
步虚拳	步虚拳	太乙教	拳	对手	2	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack12	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
宝相伏虎拳	宝相伏虎拳	宝相寺	拳	对手	2	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
宝相降龙拳	宝相降龙拳	宝相寺	拳	对手	3	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack2	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
无嗔拳	无嗔拳	宝相寺	拳	对手	4	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack3	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
使臂如意拳	使臂如意拳	新门派	拳	对手	2	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack4	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
大巧藏渊拳	大巧藏渊拳	新门派	拳	对手	4	1D6	点	32	3	6	拳法D1	无D0	臂力D1	无	Attack5	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
擒拿手	擒拿手	基本	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack6	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
铜鎚手	铜鎚手	丐帮	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack7	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
莲花掌	莲花掌	丐帮	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack8	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
阴山掌	阴山掌	丐帮	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack9	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
降龙十八掌	降龙十八掌	丐帮	掌	对手	3	3D6	点	32	3	6	掌法D10	阳内D180	根骨D1	擒龙功,三叠浪	Attack10	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
龙爪手	龙爪手	少林寺	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack11	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
千手如来掌	千手如来掌	少林寺	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack12	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
须弥山神掌	须弥山神掌	少林寺	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
绵掌	绵掌	武当派、峨嵋派、新门派	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack2	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
震山掌	震山掌	武当派	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack3	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
纯阳无极掌	纯阳无极掌	武当派	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack4	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
飘雪穿云掌	飘雪穿云掌	峨嵋派	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack5	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
素女瑶莲掌	素女瑶莲掌	峨嵋派	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack6	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
混元掌	混元掌	华山派	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack7	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
鹰蛇生死搏	鹰蛇生死搏	华山派	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack8	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
华岳三神掌	华岳三神掌	华山派	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack9	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
断阴掌	断阴掌	魔教、巫山派	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack10	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
